GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-test-task,com.aazizova.springboottesttask.service.impl,ProductServiceImpl,33,7,0,0,9,2,6,2,6,2
spring-boot-test-task,com.aazizova.springboottesttask.model.entity,Product,226,36,28,0,7,7,24,7,10,7
spring-boot-test-task,com.aazizova.springboottesttask.config,Swagger2Config,0,37,0,0,0,11,0,3,0,3
spring-boot-test-task,com.aazizova.springboottesttask.config,SecurityConfig,0,98,0,0,0,37,0,4,0,4
spring-boot-test-task,com.aazizova.springboottesttask.utils.builder,CustomActionBuilder,0,111,0,0,0,25,0,4,0,4
spring-boot-test-task,com.aazizova.springboottesttask.utils.builder,CustomEntityBuilder,44,75,0,0,12,15,2,4,2,4
spring-boot-test-task,com.aazizova.springboottesttask.utils.builder,CustomLinkBuilder,0,26,0,0,0,3,0,3,0,3
spring-boot-test-task,com.aazizova.springboottesttask,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-test-task,com.aazizova.springboottesttask.controller,ProductController,246,24,11,1,37,6,12,3,6,3
spring-boot-test-task,com.aazizova.springboottesttask.utils,ProductUtils,157,3,4,0,32,1,3,1,1,1
